jurisdiction,index,dimension_code,dimension,weight,raw_score_0_to_4,standardized_score,weighted_score,evidence_text,source_file_or_url,notes
US,监管强度指数,R1,法律地位与适用范围,0.08,4,100.0,8.0,GENIUS Act 明确定义 payment stablecoin、permitted payment stablecoin issuer、foreign payment stablecoin issuer 等核心概念。,data/regulatory_texts/US_genius_act.txt; https://www.congress.gov/119/plaws/publ27/PLAW-119publ27.htm,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
US,监管强度指数,R2,发行许可与市场准入,0.12,4,100.0,12.0,GENIUS Act 规定非 permitted payment stablecoin issuer 不得在美国发行支付稳定币，并设置联邦/州合格发行人审批。,data/regulatory_texts/US_genius_act.txt; https://www.congress.gov/119/plaws/publ27/PLAW-119publ27.htm,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
US,监管强度指数,R3,储备资产质量,0.12,4,100.0,12.0,GENIUS Act 要求至少 1:1 储备，列明现金、存款、短期美国国债、回购安排和政府货币市场基金等合格资产。,data/regulatory_texts/US_genius_act.txt; https://www.congress.gov/119/plaws/publ27/PLAW-119publ27.htm,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
US,监管强度指数,R4,赎回权与面值保护,0.12,4,100.0,12.0,GENIUS Act 要求公开赎回政策和及时赎回程序，并围绕持有人保护设置发行人义务。,data/regulatory_texts/US_genius_act.txt; https://www.congress.gov/119/plaws/publ27/PLAW-119publ27.htm,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
US,监管强度指数,R5,信息披露与透明度,0.1,4,100.0,10.0,GENIUS Act 要求公开披露赎回政策、储备组成及定期报告，且设置行业年度报告。,data/regulatory_texts/US_genius_act.txt; https://www.congress.gov/119/plaws/publ27/PLAW-119publ27.htm,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
US,监管强度指数,R6,审计、证明与第三方验证,0.08,4,100.0,8.0,GENIUS Act 引入 registered public accounting firm、证明/报告和监管报送要求。,data/regulatory_texts/US_genius_act.txt; https://www.congress.gov/119/plaws/publ27/PLAW-119publ27.htm,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
US,监管强度指数,R7,治理与运营风险管理,0.1,4,100.0,10.0,GENIUS Act 覆盖资本、流动性、风险管理、托管、监管检查和发行人治理责任。,data/regulatory_texts/US_genius_act.txt; https://www.congress.gov/119/plaws/publ27/PLAW-119publ27.htm,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
US,监管强度指数,R8,AML/CFT 与制裁合规,0.1,4,100.0,10.0,GENIUS Act 明确 Bank Secrecy Act、lawful order、制裁和非法金融风险要求。,data/regulatory_texts/US_genius_act.txt; https://www.congress.gov/119/plaws/publ27/PLAW-119publ27.htm,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
US,监管强度指数,R9,恢复、处置与退出机制,0.08,3,75.0,6.0,GENIUS Act 涉及清算、接管、业务退出和稳定币持有人保护，但跨境处置细节相对不如储备/赎回条款具体。,data/regulatory_texts/US_genius_act.txt; https://www.congress.gov/119/plaws/publ27/PLAW-119publ27.htm,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
US,监管强度指数,R10,境外发行人准入,0.1,4,100.0,10.0,GENIUS Act 专章规定 foreign payment stablecoin issuer 的可比监管、OCC 注册、美国储备和 reciprocity。,data/regulatory_texts/US_genius_act.txt; https://www.congress.gov/119/plaws/publ27/PLAW-119publ27.htm,0-4 分依据已定义编码规则；本表按 2026-04-21 已抓取/核验的公开资料打分。
